imageone,imagetwo,imagethree,imagefour,frequency
C:\LZ\final_scrambled\scrambled_185.jpg, C:\LZ\final_scrambled\scrambled_239.jpg, C:\LZ\final_scrambled\scrambled_211.jpg, C:\LZ\final_scrambled\scrambled_10.jpg,     2
C:\LZ\natural\natural_89.jpg, C:\LZ\natural\natural_159.jpg, C:\LZ\natural\natural_1.jpg, C:\LZ\natural\natural_234.jpg,     2
C:\LZ\final_scrambled\scrambled_7.jpg, C:\LZ\final_scrambled\scrambled_91.jpg, C:\LZ\final_scrambled\scrambled_131.jpg, C:\LZ\final_scrambled\scrambled_40.jpg,     2
C:\LZ\noise\noise_7.jpg, C:\LZ\noise\noise_86.jpg, C:\LZ\noise\noise_149.jpg, C:\LZ\noise\noise_122.jpg,     4
C:\LZ\noise\noise_5.jpg, C:\LZ\noise\noise_22.jpg, C:\LZ\noise\noise_139.jpg, C:\LZ\noise\noise_147.jpg,     1
C:\LZ\noise\noise_178.jpg, C:\LZ\noise\noise_175.jpg, C:\LZ\noise\noise_170.jpg, C:\LZ\noise\noise_227.jpg,     1
C:\LZ\final_scrambled\scrambled_152.jpg, C:\LZ\final_scrambled\scrambled_146.jpg, C:\LZ\final_scrambled\scrambled_124.jpg, C:\LZ\final_scrambled\scrambled_20.jpg,     3
C:\LZ\natural\natural_117.jpg, C:\LZ\natural\natural_158.jpg, C:\LZ\natural\natural_230.jpg, C:\LZ\natural\natural_131.jpg,     4
C:\LZ\final_scrambled\scrambled_50.jpg, C:\LZ\final_scrambled\scrambled_229.jpg, C:\LZ\final_scrambled\scrambled_74.jpg, C:\LZ\final_scrambled\scrambled_212.jpg,     1
C:\LZ\final_scrambled\scrambled_78.jpg, C:\LZ\final_scrambled\scrambled_110.jpg, C:\LZ\final_scrambled\scrambled_236.jpg, C:\LZ\final_scrambled\scrambled_197.jpg,     3
C:\LZ\natural\natural_206.jpg, C:\LZ\natural\natural_163.jpg, C:\LZ\natural\natural_3.jpg, C:\LZ\natural\natural_70.jpg,     4
C:\LZ\noise\noise_16.jpg, C:\LZ\noise\noise_64.jpg, C:\LZ\noise\noise_184.jpg, C:\LZ\noise\noise_110.jpg,     1
C:\LZ\natural\natural_84.jpg, C:\LZ\natural\natural_124.jpg, C:\LZ\natural\natural_208.jpg, C:\LZ\natural\natural_13.jpg,     2
C:\LZ\natural\natural_56.jpg, C:\LZ\natural\natural_226.jpg, C:\LZ\natural\natural_172.jpg, C:\LZ\natural\natural_128.jpg,     1
C:\LZ\natural\natural_75.jpg, C:\LZ\natural\natural_222.jpg, C:\LZ\natural\natural_86.jpg, C:\LZ\natural\natural_150.jpg,     1
C:\LZ\final_scrambled\scrambled_209.jpg, C:\LZ\final_scrambled\scrambled_196.jpg, C:\LZ\final_scrambled\scrambled_147.jpg, C:\LZ\final_scrambled\scrambled_86.jpg,     2
C:\LZ\natural\natural_130.jpg, C:\LZ\natural\natural_236.jpg, C:\LZ\natural\natural_61.jpg, C:\LZ\natural\natural_201.jpg,     3
C:\LZ\final_scrambled\scrambled_201.jpg, C:\LZ\final_scrambled\scrambled_180.jpg, C:\LZ\final_scrambled\scrambled_114.jpg, C:\LZ\final_scrambled\scrambled_77.jpg,     3
C:\LZ\natural\natural_41.jpg, C:\LZ\natural\natural_107.jpg, C:\LZ\natural\natural_44.jpg, C:\LZ\natural\natural_127.jpg,     4
C:\LZ\final_scrambled\scrambled_3.jpg, C:\LZ\final_scrambled\scrambled_170.jpg, C:\LZ\final_scrambled\scrambled_94.jpg, C:\LZ\final_scrambled\scrambled_5.jpg,     2
